Entry #,Movie Title,Year,Cast and Crew,URL
68,Exotica,1994,"['Atom Egoyan', 'Bruce Greenwood', 'Mia Kirshner', 'Elias Koteas', 'Sarah Polley', 'Kevin Bacon', 'Colin Firth', 'Dean Martin', 'Jerry Lewis', 'Arsinee Khanjian', 'Ingrid Bergman']",https://www.rogerebert.com/reviews/exotica-1994
69,The Double Life of Veronique,1991,"['Krzysztof Kieslowski', 'Irene Jacob', 'Philippe Volter', 'Slawomir Idziak', 'Krzysztof Piesiewicz']",https://www.rogerebert.com/reviews/the-double-life-of-veronique-1991-1
70,Waking Life,2001,"['Richard Linklater', 'Julie Delpy', 'Ethan Hawke', 'Billy Bob Thornton', 'Eric Bogosian', 'Uma Thurman', 'Robert Sean Leonard']",https://www.rogerebert.com/reviews/waking-life-2001-1
71,Secrets and Lies,1996,"['Mike Leigh', 'Marianne Jean-Baptiste', 'Timothy Spall', 'Phyllis Logan', 'Lee Ross']",https://www.rogerebert.com/reviews/secrets-and-lies-1996-1
72,After Hours,1985,"['Buster Keaton', 'Martin Scorsese', 'Amy Robinson', 'Griffin Dunne', 'Joseph Minion', 'Dusan Makavejev', 'Michael Ballhaus', 'Linda Fiorentino', 'Rosanna Arquette', 'Verna Bloom', 'Michael Powell', 'Thelma Schoonmaker']",https://www.rogerebert.com/reviews/after-hours-1985-1
73,Mon Oncle Antoine,1971,[],https://www.rogerebert.com/reviews/great-movie-mon-oncle-antoine-1971
74,The Silence,1963,"['Ingrid Thulin', 'Gunnel Lindblom', 'Sven Nykvist', 'Jacques Tati']",https://www.rogerebert.com/reviews/the-silence-1963
75,Magnolia,1999,"['Paul Thomas Anderson', 'William H. Macy', 'Jeremy Blackman', 'Philip Baker Hall', 'Melora Walters', 'John C. Reilly', 'Jason Robards', 'Tom Cruise', 'Philip Seymour Hoffman', 'Julianne Moore', 'Ricky Jay']",https://www.rogerebert.com/reviews/great-movie-magnolia-1999
76,A Prairie Home Companion,2006,"['Virginia Madsen', 'Garrison Keillor', 'Lindsay Lohan', 'Meryl Streep', 'Lily Tomlin', 'John C. Reilly', 'Woody Harrelson', 'Maya Rudolph', 'Kevin Kline', 'Tommy Lee Jones']",https://www.rogerebert.com/reviews/a-prairie-home-companion-2006-1
77,The Last Temptation of Christ,1988,"['Martin Scorsese', 'Peter Gabriel', 'Paul Schrader', 'Willem Dafoe', 'Michael Ballhaus', 'Harvey Keitel']",https://www.rogerebert.com/reviews/the-last-temptation-of-christ-1988
